"","","Optimal","standard","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X0.8","X0.9","X1","X1.1","X1.2","X1.3","X1.4","X1.5","X1.6","X1.7","X1.8","X1.9","X2","X2.1","X2.2","X2.3","X2.4","X2.5","X2.6","X2.7","X2.8","X2.9","X3"
"1",0.4,0.659109557377211,0.953661530837921,0.769784324294839,0.723817567028855,0.70178493040906,0.688644548883054,0.679949463700802,0.673842777491766,0.669391376158704,0.666068009117131,0.663549506317888,0.661625564821533,0.660152895641978,0.659030251701312,0.658183948264213,0.657559032743317,0.657113671320235,0.656815454093908,0.656638889957733,0.656563664248712,0.656573399718924,0.656654758085668,0.656796777199884,0.656990374456997,0.657227969581774,0.657503194498342,0.657810667644949,0.658145816602627,0.658504737376534,0.658884081787059,0.659280966635397,0.659692899892352
"2",0.8,0.749739490741953,1.06957587284646,0.867288465347401,0.819813882565868,0.796549426931283,0.782380029437066,0.772809960770107,0.765948081099396,0.76083676127552,0.756930762793347,0.753893396832582,0.751503979023972,0.749611095570189,0.748107034119788,0.746912889530926,0.745969439221134,0.745231316455,0.744663158114772,0.744236981576358,0.743930352575196,0.743725076952128,0.743606248181113,0.743561541913296,0.743580685416316,0.743655053032168,0.743777353876726,0.743941388024956,0.744141854205431,0.744374196695622,0.744634482374762,0.744919301209006,0.745225685111062
"3",1.2,0.893522745319124,1.24326888500555,1.01852585892441,0.968473870540699,0.943580752091066,0.928238101884265,0.917771445809087,0.910200840244293,0.904517082922824,0.900142000142829,0.896716473822201,0.894003816639316,0.89184078513954,0.890110674470939,0.888727586946863,0.887626759340602,0.886758364358891,0.886083398559629,0.885570873002069,0.885195844745185,0.884938006849978,0.884780658740544,0.884709941365322,0.884714260342986,0.884783844908504,0.884910406511122,0.885086871581461,0.885307170216156,0.885566067517577,0.885859027823514,0.886182104549257,0.886531850157585
"4",1.6,1.06957676100072,1.45418198082054,1.20340551579641,1.14954442191532,1.12252529016758,1.10578194264947,1.0943211809236,1.08601630222687,1.07977800609598,1.0749794951737,1.07122989560774,1.06827064410468,1.06592280205163,1.06405803769358,1.06258161451793,1.06142190503077,1.06052365472986,1.05984350315749,1.05934691715991,1.05900603748333,1.05879813319582,1.05870447083151,1.05870947278024,1.05880008137479,1.05896527182574,1.05919567456205,1.05948327912977,1.0598211996743,1.06020348747032,1.06062497978176,1.0610811770532,1.06156814239695
"5",2,1.26417084299106,1.68842402450801,1.40874377108798,1.35004704442379,1.32047194729451,1.30211432031205,1.28954972618045,1.28045850393646,1.27364859547539,1.26843212807435,1.2643790643026,1.26120429160359,1.25871009223245,1.25675439876656,1.25523215210608,1.25406379183709,1.25318785162824,1.25255602868691,1.25212980321753,1.25187806159333,1.25177538830314,1.25180081473285,1.2519368869174,1.25216896037206,1.25248465941343,1.25287345750388,1.25332634790211,1.25383558256618,1.25439446324642,1.25499717291451,1.25563863867495,1.25631441947233
"6",2.4,1.47012592927421,1.93755229090754,1.62681205327709,1.56251898245185,1.53006341218088,1.50992382894169,1.49616288370104,1.48623459937635,1.47882783319176,1.47318466795005,1.46883056253366,1.46545048107269,1.46282569539264,1.46079887271434,1.45925355175459,1.45810145890145,1.45727434083002,1.45671852141976,1.4563911668016,1.45625765734356,1.45628969771649,1.45646393148026,1.45676090816581,1.45716430146166,1.45766030940342,1.4582371885506,1.45888488819922,1.45959476024209,1.46035932690408,1.46117209323048,1.46202739452241,1.46292027131003
"7",2.8,1.68264531471625,2.19650741263007,1.85312173582162,1.78268562092466,1.74711381202665,1.72506768064976,1.71003902933111,1.69923197973176,1.69120477436864,1.68512311778681,1.6804641914669,1.67688064900469,1.67413117059955,1.67204207204647,1.67048472168832,1.66936157612433,1.66859718361276,1.66813218544797,1.66791919792077,1.66791991349865,1.66810301528415,1.66844264761183,1.66891727534997,1.66950882019958,1.67020199783298,1.67098380293576,1.67184310471014,1.67277032593549,1.67375718597458,1.67479649324131,1.67588197630326,1.67700814543616
"8",3.2,1.89918226787198,2.46219079028192,2.084990922244,2.00801752476041,1.969158207009,1.94511369950728,1.92876354644764,1.91704514552538,1.9083779056126,1.90184663739759,1.89687755281023,1.89308929022114,1.89021680769799,1.88806929198296,1.88650539011634,1.8854178890013,1.88472384227112,1.88435798547944,1.88426821452531,1.88441240202867,1.88475610637985,1.88527089134875,1.8859330725211,1.88672276795749,1.88762316947308,1.8886199764174,1.88970095083798,1.8908555644791,1.89207471607248,1.89335050300703,1.89467603548096,1.89604528414338
"9",3.6,2.11985082856423,2.73264064634045,2.32075384107917,2.236954322422,2.194681334833,2.16857012170961,2.15085782500225,2.13820288829223,2.12887991337505,2.12188953438347,2.11660503544981,2.11260979873399,2.10961423636974,2.10740983874286,2.1058421291588,2.1047939322955,2.1041745901507,2.10391276876811,2.10395151825582,2.1042447941706,2.10475495402277,2.1054509207991,2.10630681282713,2.10730090605711,2.10841483743333,2.10963298585784,2.11094198582279,2.11233034142388,2.11378811721358,2.11530668850318,2.11687853811154,2.1184970897311
"10",4,2.3428754889501,3.00657097980195,2.55933466020097,2.46849322576025,2.4227119151634,2.39448234679325,2.37537684960514,2.36176582782874,2.35177463921857,2.34431730231557,2.33871271771693,2.33450808820127,2.33138866664113,2.3291278243147,2.32755766059626,2.32655081948059,2.32600876907042,2.32585398328517,2.32602457241842,2.32647050195554,2.32715087122468,2.32803191703862,2.3290855242264,2.33028809749868,2.33161969538292,2.33306335721163,2.33460457433401,2.33623087045466,2.33793146550948,2.33969700417412,2.34151933487046,2.3433913285855
"11",4.4,2.56661705927681,3.28311071263445,2.80001315745243,2.70196537261495,2.6526033686667,2.62221572587183,2.60169294900555,2.5871105101981,2.57644115689257,2.56851044101651,2.56258177432714,2.55816547886582,2.55492118196442,2.55260381415317,2.55103182228658,2.55006750317707,2.54960432724276,2.54955848263461,2.54986306793922,2.55046400267577,2.55131708405902,2.55238582787501,2.55363985758089,2.55505368420194,2.5566057696675,2.55827779894116,2.56005410813394,2.56192123064271,2.56386753363715,2.56588292444962,2.56795861158058,2.5700869087628
"12",4.8,2.79188740665475,3.56165208667488,3.04229152578873,2.93690974463984,2.88391071016875,2.85133393072203,2.82937492269385,2.813808893819,2.80245337683727,2.79404402455474,2.78778790412751,2.78315791356828,2.77978769326313,2.77741348353594,2.77583990130833,2.77491876688844,2.77453545678253,2.77459980051491,2.77503982897712,2.77579737214753,2.77682489084065,2.7780831525809,2.7795394976428,2.78116652577633,2.78294108804119,2.78484350339373,2.78685694317559,2.78896694264335,2.79116100974691,2.79342830914786,2.79575940502274,2.79814605021108
"13",5.2,3.01892513132533,3.84175974806967,3.28581588663206,3.17299932645357,3.11631867468124,3.08152808254868,3.05811771101621,3.04155830494368,3.02951013151,3.02061781603595,3.01403140674894,3.00918594933382,3.00568881217646,3.00325734852856,3.00168220528594,3.00080462406929,3.00050181138719,3.00067718048664,3.00125365022703,3.00216892650928,3.00337210654693,3.00482118797448,3.00648121054379,3.00832284872795,3.01032133134151,3.0124556020431,3.01470765978376,3.01706203540532,3.01950537245713,3.02202608864333,3.02461410026452,3.02726059632195
"14",5.6,3.24607323435788,4.12311448756081,3.53032840126521,3.40999626207324,3.34959817370456,3.31257388297343,3.28769990186022,3.27013915396401,3.25739300018515,3.24801413540983,3.2410950491341,3.23603259172273,3.23240763118256,3.22991847589377,3.22834169037654,3.2275078555718,3.22728594690307,3.22757291502481,3.22828653112074,3.22936034922942,3.23074008106306,3.23238093693748,3.23424564209572,3.23630293442896,3.23852641131158,3.24089363358547,3.24338542163464,3.24598529679323,3.24867903399782,3.25145430050292,3.25430036183331,3.25720784074166
"15",6,3.47456532342664,4.40547737861083,3.77563709427884,3.64772370022679,3.58357900897687,3.54430478434788,3.51795716061906,3.49938851553875,3.48593997245322,3.47607156297954,3.46881777964157,3.46353699892592,3.45978340291277,3.45723612685258,3.45565756153217,3.45486756050876,3.45472681839885,3.45512578554572,3.45597705641298,3.45721001052192,3.45876695621455,3.46060030225728,3.46267044795535,3.46494418537201,3.46739347291401,3.46999448244465,3.4727268507134,3.47557308536285,3.47851808925149,3.4815487763067,3.48465375888359,3.48782309149246
